{name:'Stair_el7', position:{x:63.18, y:4.3, z:79.81}, rotation:{x:0, y:0.7639952, z:0}, scale:{x:1, y:1, z:1}, file:'Stair_el7.fbx'},
{name:'Block2', position:{x:81.85, y:2.76, z:86.29}, rotation:{x:0, y:0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Block2.fbx'},
{name:'Tree_Pine_3', position:{x:83.10512, y:3.720469, z:84.68773}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_Pine_3.fbx'},
{name:'Bush_08', position:{x:59.47066, y:3.429039, z:104.8817}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_08.fbx'},
{name:'Tree_Pine_1', position:{x:87.01257, y:1.966355, z:86.24902}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_Pine_1.fbx'},
{name:'Column3A', position:{x:70.36627, y:5.05758, z:102.1252}, rotation:{x:0, y:0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Column3A.fbx'},
{name:'Tree_Pine_1', position:{x:74.2984, y:5.491668, z:99.57084}, rotation:{x:0, y:-0.8123382, z:0}, scale:{x:1, y:0.774695, z:1}, file:'Tree_Pine_1.fbx'},
{name:'Fence2', position:{x:78.61802, y:3.398569, z:91.51213}, rotation:{x:0, y:-0.998154, z:0}, scale:{x:1, y:1, z:1}, file:'Fence2.fbx'},
{name:'Mushroom3B', position:{x:69.40081, y:3.401477, z:79.99416}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Mushroom3B.fbx'},
{name:'Stair_el2', position:{x:63.26, y:4.3, z:77.72}, rotation:{x:0, y:0.6932201, z:0}, scale:{x:1, y:1, z:1}, file:'Stair_el2.fbx'},
{name:'Ground_Decal_grass1', position:{x:63.89347, y:3.405359, z:103.7437}, rotation:{x:0, y:-0.4224538, z:0}, scale:{x:1, y:1, z:1}, file:'Ground_Decal_grass1.fbx'},
{name:'Stair_el8', position:{x:78.8664, y:2.128297, z:84.28519}, rotation:{x:0, y:-0.9508293, z:0}, scale:{x:1, y:1, z:1}, file:'Stair_el8.fbx'},
{name:'Fence2', position:{x:83.50697, y:3.405817, z:76.3111}, rotation:{x:0, y:0.3777235, z:0}, scale:{x:1, y:1, z:1}, file:'Fence2.fbx'},
{name:'Tree_Pine_2', position:{x:76.08925, y:2.186034, z:79.15456}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_Pine_2.fbx'},
{name:'Rock_15', position:{x:83.58846, y:2.021745, z:85.63272}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Rock_15.fbx'},
{name:'Sparks_pink', position:{x:84.13446, y:9.484919, z:96.84034}, rotation:{x:-0.590996, y:0.4316109, z:0.3882317}, scale:{x:1, y:1, z:1}, file:'Sparks_pink.fbx'},
{name:'Tree_09', position:{x:84.13804, y:5.491668, z:96.82999}, rotation:{x:-0.02184666, y:0.5797161, z:-0.0306737}, scale:{x:1, y:1, z:1}, file:'Tree_09.fbx'},
{name:'Floor5', position:{x:60.03194, y:5.491151, z:77.23545}, rotation:{x:0, y:0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Floor5.fbx'},
{name:'Rock_14B', position:{x:73.20877, y:5.491543, z:108.6678}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Rock_14B.fbx'},
{name:'Bush_05', position:{x:67.45815, y:3.429039, z:77.15488}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_05.fbx'},
{name:'Bush_06', position:{x:64.20143, y:3.429039, z:89.92351}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_06.fbx'},
{name:'Rock_06', position:{x:97.7, y:2.54, z:96.25}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Rock_06.fbx'},
{name:'Tree_Small_02', position:{x:90.8556, y:3.371016, z:102.4462}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_Small_02.fbx'},
{name:'Block1', position:{x:88.84155, y:3.87, z:110.992}, rotation:{x:0, y:0.909279, z:0}, scale:{x:1, y:1, z:1}, file:'Block1.fbx'},
{name:'Bush_08', position:{x:88.3151, y:3.317497, z:84.45899}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_08.fbx'},
{name:'Fence1', position:{x:68.85726, y:3.405359, z:87.77923}, rotation:{x:0, y:-0.3853284, z:0}, scale:{x:1, y:1, z:1}, file:'Fence1.fbx'},
{name:'Point_light', position:{x:64.59174, y:5.32909, z:102.0131}, rotation:{x:0, y:-0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Point_light.fbx'},
{name:'Particle_Glow', position:{x:64.60741, y:5.577087, z:102.005}, rotation:{x:-0.6532816, y:-0.2705981, z:-0.2705981}, scale:{x:1, y:1, z:1}, file:'Particle_Glow.fbx'},
{name:'Lantern1', position:{x:65.39301, y:3.405359, z:101.2194}, rotation:{x:0, y:-0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Lantern1.fbx'},
{name:'Ground_Decal_Leaves2', position:{x:80.80984, y:5.491673, z:101.437}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Ground_Decal_Leaves2.fbx'},
{name:'Tree_Pine_2', position:{x:63.81, y:3.41, z:86.37}, rotation:{x:0, y:-0.5664616, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_Pine_2.fbx'},
{name:'Ivy1', position:{x:82.64, y:5.74, z:72.76}, rotation:{x:0, y:-0.2786228, z:0}, scale:{x:1, y:1, z:1}, file:'Ivy1.fbx'},
{name:'Block2', position:{x:88.38864, y:4.19, z:110.2598}, rotation:{x:0, y:0.909279, z:0}, scale:{x:1, y:1, z:1}, file:'Block2.fbx'},
{name:'Block4', position:{x:81.54, y:1.81, z:86.98}, rotation:{x:0, y:0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Block4.fbx'},
{name:'Tree_06', position:{x:84.57555, y:5.475119, z:100.5954}, rotation:{x:0, y:0.9998423, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_06.fbx'},
{name:'Tree_Pine_2', position:{x:58.96, y:5.5, z:87.94}, rotation:{x:0, y:-0.5389422, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_Pine_2.fbx'},
{name:'Block2', position:{x:68.38754, y:4.187246, z:103.6782}, rotation:{x:0, y:0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Block2.fbx'},
{name:'Bush_04', position:{x:67.62614, y:3.429039, z:91.00629}, rotation:{x:0, y:-0.6161284, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_04.fbx'},
{name:'Rock_13', position:{x:80.06325, y:2.95686, z:94.55245}, rotation:{x:0, y:-0.7809149, z:0}, scale:{x:1, y:1, z:1}, file:'Rock_13.fbx'},
{name:'Tree_Pine_3', position:{x:89.05943, y:3.642256, z:81.83836}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_Pine_3.fbx'},
{name:'Bush_09', position:{x:87.96555, y:5.514168, z:103.7293}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_09.fbx'},
{name:'Point_light', position:{x:77.42, y:4.945734, z:80.75}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Point_light.fbx'},
{name:'Fire2', position:{x:77.42, y:4.659169, z:80.75}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Fire2.fbx'},
{name:'Fire_long', position:{x:77.42, y:5.732012, z:80.73159}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Fire_long.fbx'},
{name:'Fire_sparks', position:{x:77.42, y:4.93136, z:80.75}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Fire_sparks.fbx'},
{name:'Fire2', position:{x:77.42, y:4.78, z:80.75}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Fire2.fbx'},
{name:'Fire_and_Light', position:{x:77.42, y:4.78, z:80.75}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Fire_and_Light.fbx'},
{name:'Mushroom2A', position:{x:60.46161, y:3.405042, z:104.3931}, rotation:{x:0, y:0.9722606, z:0}, scale:{x:1, y:1, z:1}, file:'Mushroom2A.fbx'},
{name:'Bush_03', position:{x:61, y:5.42368, z:88.32}, rotation:{x:0, y:-0.5389422, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_03.fbx'},
{name:'Tree_06', position:{x:76.03093, y:5.479548, z:69.81396}, rotation:{x:0, y:0.9998423, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_06.fbx'},
{name:'Plant_04', position:{x:83.31608, y:3.429913, z:83.49403}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Plant_04.fbx'},
{name:'Ground_Decal1', position:{x:64.25189, y:3.405359, z:101.7012}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Ground_Decal1.fbx'},
{name:'Ground_Decal3', position:{x:70.07489, y:3.405359, z:89.20958}, rotation:{x:0, y:0.9628423, z:0}, scale:{x:1, y:1, z:1}, file:'Ground_Decal3.fbx'},
{name:'Bush_01', position:{x:65.32202, y:3.429118, z:87.45953}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_01.fbx'},
{name:'Bush_09', position:{x:93.75432, y:3.304708, z:75.78059}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_09.fbx'},
{name:'Floor3', position:{x:79.70186, y:3.405803, z:80.09951}, rotation:{x:0, y:0.7552071, z:0}, scale:{x:1, y:1, z:1}, file:'Floor3.fbx'},
{name:'Stair_el2', position:{x:70.89064, y:5.190954, z:104.0067}, rotation:{x:0, y:-0.9238796, z:0}, scale:{x:1, y:1, z:1}, file:'Stair_el2.fbx'},
{name:'Plant_06', position:{x:74.65571, y:1.997678, z:77.8494}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Plant_06.fbx'},
{name:'Brickwall2', position:{x:65.95818, y:3.405359, z:104.1396}, rotation:{x:0, y:0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Brickwall2.fbx'},
{name:'Stair_el1', position:{x:69.57751, y:3.900102, z:105.2956}, rotation:{x:0, y:-0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Stair_el1.fbx'},
{name:'Rock_07', position:{x:77.59642, y:3.593332, z:94.61562}, rotation:{x:-0.3009391, y:0.8542622, z:0.05359961}, scale:{x:1, y:1, z:1}, file:'Rock_07.fbx'},
{name:'Rock_17A', position:{x:72.71012, y:5.41707, z:104.8315}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Rock_17A.fbx'},
